"","V1","V2","V3","V4","V5","V6","V7","V8"
"3627",0,1,3,0,2,1,1,8
"3628",1,0,13,0,0,4,5,23
"3629",4,1,1,0,0,1,0,7
"3630",1,9,7,0,0,13,8,40
"3631",5,0,1,0,0,2,0,8
"3632",1,2,5,0,0,2,3,13
"3633",2,8,14,1,0,6,9,40
"3634",0,0,3,0,0,2,1,6
"3635",0,0,0,0,0,2,1,3
"3636",0,0,1,0,0,1,0,2
"3637",1,0,10,1,0,4,1,17
"3638",0,0,5,0,0,3,1,9
"3639",0,0,0,0,0,0,0,0
"3640",1,1,9,0,0,5,5,21
"3641",1,4,5,0,0,4,2,16
"3642",0,0,1,0,0,1,0,2
"3643",0,0,5,0,0,0,1,6
"3644",0,0,1,0,0,1,0,2
"3645",0,0,0,0,0,0,0,0
"3646",0,0,0,0,0,3,0,3
"3647",0,0,1,0,0,0,0,1
"3648",0,0,3,0,0,4,1,8
"3649",0,0,2,0,0,3,1,6
"3650",0,0,0,0,0,1,0,2
"3651",0,0,4,1,1,2,0,11
"3652",1,1,1,0,0,5,6,14
"3653",0,0,2,0,0,1,1,4
"3654",2,1,9,0,0,14,3,29
"3655",0,0,4,0,0,2,0,6
"3656",3,6,9,0,0,5,5,28
"3657",1,2,5,0,1,2,4,15
"3658",0,0,5,0,0,0,1,6
"3659",0,0,7,0,0,0,2,9
"3660",0,0,1,0,0,2,1,4
"3661",0,0,1,0,0,0,0,1
"3662",0,1,5,0,1,11,2,20
"3663",0,0,3,0,1,2,2,8
"3664",0,0,4,0,0,4,1,9
"3665",1,0,7,1,0,2,4,15
"3666",0,0,1,0,0,0,0,1
"3667",0,0,1,0,0,1,1,3
"3668",1,10,12,1,1,8,5,38
"3669",1,0,8,0,0,2,2,13
"3670",1,7,6,0,0,6,5,25
"3671",0,2,6,0,0,4,10,22
"3672",0,1,3,0,0,2,3,9
"3673",1,0,8,0,0,5,4,18
"3674",0,1,2,0,0,1,0,4
"3675",0,0,3,1,1,2,0,9
"3676",0,1,6,0,1,3,0,12
"3677",0,0,4,0,0,0,2,6
"3678",0,1,7,0,0,2,0,10
"3679",0,0,4,0,0,2,1,7
"3680",1,0,3,0,0,0,0,5
"3681",0,1,2,0,0,3,0,6
"3682",0,0,3,0,0,1,0,4
"3683",0,0,0,0,0,1,0,1
"3684",2,12,4,0,0,13,10,42
"3685",0,0,1,0,0,0,1,2
"3686",3,2,17,0,0,4,5,33
"3687",0,0,1,0,0,1,1,3
"3688",1,1,2,0,0,4,1,9
"3689",1,8,5,0,1,4,2,21
"3690",2,1,6,0,0,4,2,16
"3691",2,10,7,0,0,15,8,44
"3692",1,2,6,0,0,2,0,12
"3693",0,3,11,0,0,0,1,15
"3694",0,0,0,0,0,1,0,1
"3695",0,3,16,0,0,5,7,31
"3696",0,0,3,0,0,5,1,9
"3697",0,0,3,0,0,2,0,5
"3698",0,3,4,0,0,16,4,27
"3699",0,0,3,0,0,4,0,7
"3700",13,15,52,3,4,35,30,153
"3701",0,1,10,0,2,3,5,21
"3702",1,0,5,0,0,2,1,9
"3703",1,5,10,0,0,15,9,41
"3704",1,2,7,0,0,4,0,15
"3705",0,0,10,0,1,4,1,16
"3706",0,0,6,0,0,4,1,12
"3707",2,0,1,0,1,4,1,9
"3708",0,0,5,0,0,4,1,10
"3709",2,3,4,0,0,1,3,13
"3710",0,1,4,0,0,1,1,7
"3711",1,1,4,0,0,4,0,11
"3712",0,0,0,0,0,0,0,0
"3713",1,0,2,0,0,5,0,8
"3714",0,0,1,0,0,2,0,3
"3715",0,0,7,0,0,0,2,9
"3716",0,0,8,0,0,5,2,15
"3717",0,0,0,0,0,0,0,0
"3718",0,0,8,0,0,6,1,15
"3719",0,0,0,0,0,2,3,5
"3720",2,1,2,1,1,6,0,13
"3721",2,0,1,0,0,3,0,6
"3722",0,2,9,0,1,1,4,17
"3723",3,6,13,0,0,9,4,35
"3724",4,2,4,0,0,5,7,23
"3725",0,2,6,0,0,2,4,14
"3726",0,0,1,0,0,2,1,4
"3727",3,12,35,1,2,20,20,93
"3728",0,0,0,0,0,0,0,0
"3729",0,0,1,1,0,1,0,4
"3730",14,16,54,3,5,31,32,156
"3731",0,0,3,0,0,2,1,6
"3732",0,0,1,0,0,0,1,2
"3733",0,3,1,0,0,0,0,4
"3734",0,1,4,0,1,12,2,20
"3735",0,0,3,0,0,2,0,5
"3736",1,1,6,0,1,7,2,18
"3737",1,0,4,0,0,1,3,9
"3738",0,0,3,0,0,3,1,7
"3739",0,0,1,0,0,1,0,2
"3740",2,1,9,0,0,2,1,15
"3741",0,0,2,0,0,1,2,5
"3742",0,0,5,0,0,2,1,8
"3743",1,1,2,0,0,1,1,6
"3744",0,0,5,0,0,0,0,5
"3745",0,3,3,0,1,3,1,12
"3746",0,0,2,0,0,2,2,6
"3747",3,0,0,0,0,3,0,6
"3748",0,0,0,0,0,1,0,1
"3749",0,3,4,0,0,16,4,27
"3750",0,0,6,0,0,3,0,9
"3751",2,1,11,0,0,6,4,24
"3752",0,0,1,0,0,0,0,1
"3753",0,0,4,0,0,2,0,6
"3754",0,1,7,0,1,8,2,19
"3755",0,0,0,0,0,0,0,0
"3756",0,1,4,0,0,2,0,8
"3757",1,1,7,0,0,9,1,19
"3758",0,0,0,0,0,0,0,0
"3759",0,1,8,0,0,2,0,11
"3760",3,2,11,0,1,6,1,24
"3761",0,0,0,0,0,1,1,2
"3762",0,0,1,0,0,0,1,4
"3763",2,8,11,1,1,5,5,33
"3764",1,0,5,0,0,2,0,8
"3765",0,0,5,0,1,1,3,10
"3766",1,2,2,0,0,5,0,10
"3767",2,1,4,0,0,4,2,13
"3768",0,0,0,0,2,1,0,3
"3769",0,1,3,0,1,4,1,10
"3770",0,1,0,0,1,0,1,3
"3771",1,0,3,0,0,2,0,6
"3772",0,0,3,0,0,0,0,3
"3773",1,4,12,0,0,14,11,43
"3774",1,0,6,1,0,2,0,10
"3775",0,1,3,0,2,0,1,7
"3776",0,0,7,0,1,1,2,11
"3777",1,2,2,0,0,4,3,12
"3778",0,0,5,0,0,0,0,5
"3779",2,2,17,0,0,9,4,36
"3780",1,1,4,0,0,7,1,15
"3781",2,0,8,0,0,13,4,27
"3782",0,0,6,0,0,18,1,26
"3783",0,0,1,0,0,1,0,2
"3784",0,0,4,0,0,3,1,8
"3785",1,0,14,0,0,11,1,27
"3786",1,1,15,0,0,4,1,22
"3787",0,0,2,0,0,1,0,3
"3788",0,0,2,0,0,0,0,2
"3789",0,0,7,0,0,0,2,9
"3790",1,6,4,0,0,5,6,22
"3791",1,3,1,0,0,10,0,17
"3792",0,1,3,0,0,2,0,6
"3793",0,1,2,0,0,3,3,9
"3794",0,1,2,0,2,1,1,7
"3795",0,0,0,0,0,0,0,0
"3796",10,12,39,3,3,27,31,126
"3797",1,0,5,0,1,3,1,11
"3798",0,1,4,0,0,1,0,6
"3799",0,0,2,0,0,1,0,4
"3800",1,0,2,0,0,0,0,3
"3801",0,0,6,0,0,0,1,7
"3802",0,0,4,0,0,10,1,15
"3803",0,0,2,0,0,4,1,7
"3804",0,0,17,0,0,4,3,24
"3805",1,0,2,0,0,1,0,4
"3806",0,0,4,0,0,4,1,9
"3807",3,6,11,0,0,4,5,29
"3808",0,0,6,0,0,0,2,8
"3809",0,0,3,0,0,6,2,11
"3810",0,0,1,0,0,0,0,1
"3811",0,0,2,0,0,2,0,4
"3812",0,0,4,0,0,2,1,7
"3813",0,0,0,0,0,1,0,1
"3814",0,0,1,0,0,0,1,2
"3815",0,0,1,0,0,0,1,2
"3816",1,3,10,0,1,13,1,29
"3817",3,8,14,1,0,6,9,41
"3818",1,0,6,0,0,2,5,14
"3819",0,0,4,0,0,1,0,5
"3820",1,0,3,0,0,1,3,8
"3821",0,0,2,0,0,0,0,2
"3822",1,2,11,0,0,2,3,21
"3823",0,4,8,0,0,11,4,27
"3824",0,2,7,0,0,10,2,21
"3825",0,0,3,0,0,1,0,4
"3826",0,2,9,0,0,4,3,18
"3827",0,1,3,0,2,0,1,7
"3828",4,2,7,1,0,3,0,17
"3829",0,0,7,0,0,0,2,9
