"","x"
"1566",12
"1567",124
"1568",0
"1569",13
"1570",40
"1571",50
"1572",356
"1573",719
"1574",5
"1575",796
"1576",36
"1577",64
"1578",192
"1579",385
"1580",374
"1581",130
"1582",34
"1583",58
"1584",94
"1585",144
"1586",130
"1587",315
"1588",382
"1589",91
"1590",77
"1591",11
"1592",294
"1593",45
"1594",49
"1595",340
"1596",113
"1597",120
"1598",211
"1599",2
"1600",722
"1601",409
"1602",459
"1603",27
"1604",69
"1605",367
"1606",301
"1607",21
"1608",451
"1609",55
"1610",100
"1611",72
"1612",17
"1613",20
"1614",11
"1615",6
"1616",41
"1617",64
"1618",39
"1619",97
"1620",20
"1621",130
"1622",45
"1623",24
"1624",48
"1625",249
"1626",146
"1627",339
"1628",126
"1629",26
"1630",306
"1631",13
"1632",54
"1633",265
"1634",68
"1635",130
"1636",406
"1637",159
"1638",129
"1639",27
"1640",539
"1641",272
"1642",117
"1643",229
"1644",169
"1645",107
"1646",293
"1647",67
"1648",136
"1649",35
"1650",217
"1651",4
"1652",92
"1653",46
"1654",64
"1655",604
"1656",39
"1657",153
"1658",125
"1659",13
"1660",43
"1661",65
"1662",32
"1663",27
"1664",56
"1665",61
"1666",46
"1667",60
"1668",51
"1669",606
"1670",81
"1671",137
"1672",76
"1673",18
"1674",126
"1675",23
"1676",187
"1677",19
"1678",257
"1679",159
"1680",81
"1681",579
"1682",26
"1683",232
"1684",321
"1685",94
"1686",112
"1687",178
"1688",101
"1689",43
"1690",27
"1691",30
"1692",40
"1693",184
"1694",34
"1695",333
"1696",23
"1697",11
"1698",385
"1699",86
"1700",5
"1701",110
"1702",50
"1703",366
"1704",67
"1705",41
"1706",111
"1707",55
"1708",79
"1709",141
"1710",112
"1711",235
"1712",198
"1713",210
"1714",47
"1715",50
"1716",16
"1717",302
"1718",50
"1719",159
"1720",65
"1721",292
"1722",213
"1723",331
"1724",473
"1725",4
"1726",386
"1727",110
"1728",77
"1729",167
"1730",51
"1731",25
"1732",0
"1733",30
"1734",0
"1735",40
"1736",55
"1737",378
"1738",13
"1739",24
"1740",317
"1741",11
"1742",92
"1743",156
"1744",316
"1745",26
"1746",25
"1747",45
"1748",11
"1749",47
"1750",401
"1751",207
"1752",14
"1753",337
"1754",15
"1755",89
"1756",172
"1757",17
"1758",166
"1759",109
"1760",1389
"1761",104
"1762",134
"1763",173
"1764",326
"1765",103
"1766",15
"1767",33
"1768",182
"1769",63
"1770",219
"1771",335
"1772",17
"1773",672
"1774",5
"1775",108
"1776",158
"1777",258
"1778",362
"1779",97
"1780",269
"1781",330
"1782",208
"1783",249
"1784",23
"1785",172
"1786",280
"1787",776
"1788",62
"1789",17
"1790",59
"1791",42
"1792",40
